date,cash_$,invested_$,equity_$,open_positions,deposited_$
2021-07-26,1440.0,360.0,1800.0,1,1800.0
2021-07-27,1836.0,0.0,1836.0,0,1800.0
2021-07-28,1836.0,0.0,1836.0,0,1800.0
2021-07-29,1560.6,275.4,1836.0,1,1800.0
2021-07-30,1560.6,275.4,1836.0,1,1800.0
2021-07-31,1560.6,275.4,1836.0,1,1800.0
2021-08-01,1760.6,275.4,2036.0,1,2000.0
2021-08-02,1760.6,275.4,2036.0,1,2000.0
2021-08-03,1760.6,275.4,2036.0,1,2000.0
2021-08-04,1760.6,275.4,2036.0,1,2000.0
2021-08-05,1760.6,275.4,2036.0,1,2000.0
2021-08-06,1760.6,275.4,2036.0,1,2000.0
2021-08-07,1760.6,275.4,2036.0,1,2000.0
2021-08-08,1760.6,275.4,2036.0,1,2000.0
2021-08-09,1760.6,275.4,2036.0,1,2000.0
2021-08-10,1760.6,275.4,2036.0,1,2000.0
2021-08-11,1760.6,275.4,2036.0,1,2000.0
2021-08-12,1760.6,275.4,2036.0,1,2000.0
2021-08-13,1760.6,275.4,2036.0,1,2000.0
2021-08-14,1760.6,275.4,2036.0,1,2000.0
2021-08-15,1760.6,275.4,2036.0,1,2000.0
2021-08-16,1760.6,275.4,2036.0,1,2000.0
2021-08-17,1760.6,275.4,2036.0,1,2000.0
2021-08-18,1760.6,275.4,2036.0,1,2000.0
2021-08-19,1760.6,275.4,2036.0,1,2000.0
2021-08-20,1760.6,275.4,2036.0,1,2000.0
2021-08-21,1760.6,275.4,2036.0,1,2000.0
2021-08-22,1760.6,275.4,2036.0,1,2000.0
2021-08-23,1760.6,275.4,2036.0,1,2000.0
2021-08-24,1760.6,275.4,2036.0,1,2000.0
2021-08-25,1760.6,275.4,2036.0,1,2000.0
2021-08-26,1455.2,580.8,2036.0,2,2000.0
2021-08-27,964.52,1102.02,2066.54,3,2000.0
2021-08-28,1558.65,585.38,2144.04,2,2000.0
2021-08-29,1558.65,585.38,2144.04,2,2000.0
2021-08-30,227.22,1921.58,2148.8,5,2000.0
2021-08-31,1317.73,954.62,2272.36,3,2000.0
2021-09-01,1517.73,954.62,2472.36,3,2200.0
2021-09-02,1517.73,954.62,2472.36,3,2200.0
2021-09-03,1517.73,954.62,2472.36,3,2200.0
2021-09-04,1517.73,954.62,2472.36,3,2200.0
2021-09-05,1517.73,954.62,2472.36,3,2200.0
2021-09-06,1517.73,954.62,2472.36,3,2200.0
2021-09-07,1517.73,954.62,2472.36,3,2200.0
2021-09-08,1517.73,954.62,2472.36,3,2200.0
2021-09-09,1517.73,954.62,2472.36,3,2200.0
2021-09-10,1517.73,954.62,2472.36,3,2200.0
2021-09-11,1517.73,954.62,2472.36,3,2200.0
2021-09-12,1517.73,954.62,2472.36,3,2200.0
2021-09-13,1517.73,954.62,2472.36,3,2200.0
2021-09-14,1517.73,954.62,2472.36,3,2200.0
2021-09-15,1517.73,954.62,2472.36,3,2200.0
2021-09-16,1517.73,954.62,2472.36,3,2200.0
2021-09-17,1517.73,954.62,2472.36,3,2200.0
2021-09-18,1517.73,954.62,2472.36,3,2200.0
2021-09-19,1517.73,954.62,2472.36,3,2200.0
2021-09-20,1517.73,954.62,2472.36,3,2200.0
2021-09-21,1517.73,954.62,2472.36,3,2200.0
2021-09-22,1517.73,954.62,2472.36,3,2200.0
2021-09-23,1517.73,954.62,2472.36,3,2200.0
2021-09-24,1023.26,1449.09,2472.36,4,2200.0
2021-09-25,1023.26,1449.09,2472.36,4,2200.0
2021-09-26,1023.26,1449.09,2472.36,4,2200.0
2021-09-27,1908.16,644.64,2552.8,2,2200.0
2021-09-28,1908.16,644.64,2552.8,2,2200.0
2021-09-29,2550.19,0.0,2550.19,0,2200.0
2021-09-30,1785.13,765.06,2550.19,2,2200.0
2021-10-01,2405.91,382.53,2788.44,1,2400.0
2021-10-02,2405.91,382.53,2788.44,1,2400.0
2021-10-03,2405.91,382.53,2788.44,1,2400.0
2021-10-04,2405.91,382.53,2788.44,1,2400.0
2021-10-05,2405.91,382.53,2788.44,1,2400.0
2021-10-06,2405.91,382.53,2788.44,1,2400.0
2021-10-07,2405.91,382.53,2788.44,1,2400.0
2021-10-08,2405.91,382.53,2788.44,1,2400.0
2021-10-09,2405.91,382.53,2788.44,1,2400.0
2021-10-10,2405.91,382.53,2788.44,1,2400.0
2021-10-11,2405.91,382.53,2788.44,1,2400.0
2021-10-12,2405.91,382.53,2788.44,1,2400.0
2021-10-13,2405.91,382.53,2788.44,1,2400.0
2021-10-14,2405.91,382.53,2788.44,1,2400.0
2021-10-15,2405.91,382.53,2788.44,1,2400.0
2021-10-16,2405.91,382.53,2788.44,1,2400.0
2021-10-17,2405.91,382.53,2788.44,1,2400.0
2021-10-18,2405.91,382.53,2788.44,1,2400.0
2021-10-19,2405.91,382.53,2788.44,1,2400.0
2021-10-20,2405.91,382.53,2788.44,1,2400.0
2021-10-21,2405.91,382.53,2788.44,1,2400.0
2021-10-22,2405.91,382.53,2788.44,1,2400.0
2021-10-23,2405.91,382.53,2788.44,1,2400.0
2021-10-24,2405.91,382.53,2788.44,1,2400.0
2021-10-25,1987.65,800.79,2788.44,2,2400.0
2021-10-26,1987.65,800.79,2788.44,2,2400.0
2021-10-27,1569.38,1219.06,2788.44,3,2400.0
2021-10-28,2029.47,800.79,2830.27,2,2400.0
2021-10-29,2019.98,848.54,2868.52,2,2400.0
2021-10-30,2019.98,848.54,2868.52,2,2400.0
2021-10-31,2019.98,848.54,2868.52,2,2400.0
2021-11-01,2219.98,848.54,3068.52,2,2600.0
2021-11-02,2219.98,848.54,3068.52,2,2600.0
2021-11-03,2219.98,848.54,3068.52,2,2600.0
2021-11-04,2219.98,848.54,3068.52,2,2600.0
2021-11-05,2219.98,848.54,3068.52,2,2600.0
2021-11-06,2219.98,848.54,3068.52,2,2600.0
2021-11-07,2219.98,848.54,3068.52,2,2600.0
2021-11-08,2693.28,418.27,3111.55,1,2600.0
2021-11-09,2693.28,418.27,3111.55,1,2600.0
2021-11-10,2693.28,418.27,3111.55,1,2600.0
2021-11-11,2693.28,418.27,3111.55,1,2600.0
2021-11-12,2693.28,418.27,3111.55,1,2600.0
2021-11-13,2693.28,418.27,3111.55,1,2600.0
2021-11-14,2693.28,418.27,3111.55,1,2600.0
2021-11-15,2693.28,418.27,3111.55,1,2600.0
2021-11-16,2693.28,418.27,3111.55,1,2600.0
2021-11-17,2693.28,418.27,3111.55,1,2600.0
2021-11-18,2693.28,418.27,3111.55,1,2600.0
2021-11-19,2693.28,418.27,3111.55,1,2600.0
2021-11-20,2693.28,418.27,3111.55,1,2600.0
2021-11-21,2693.28,418.27,3111.55,1,2600.0
2021-11-22,1915.4,1196.15,3111.55,2,2600.0
2021-11-23,826.35,2285.2,3111.55,4,2600.0
2021-11-24,826.35,2285.2,3111.55,4,2600.0
2021-11-25,826.35,2285.2,3111.55,4,2600.0
