ticker,rating,entry_date,exit_date,invested_$,pnl_%,pnl_$,tp_hit,days_held
OGE,B,2003-11-26,2003-12-26,270.0,1.3,3.51,False,30
AVY,B+,2004-01-30,2004-03-01,374.6,3.47,13.0,False,31
TGT,B+,2004-04-27,2004-05-27,478.81,0.36,1.72,False,30
BAX,A,2004-04-28,2004-05-28,563.3,-3.91,-22.03,False,30
CMCSA,B,2004-04-29,2004-06-01,422.48,-4.84,-20.45,False,33
FSS,A,2004-04-29,2004-06-01,563.3,-1.8,-10.14,False,33
NRG,A,2004-05-28,2004-06-10,599.24,10.0,59.92,True,13
BAC,B+,2004-05-27,2004-06-28,513.1,2.07,10.62,False,32
CALD,A,2004-07-29,2004-07-30,687.23,10.0,68.72,True,1
APH,B+,2004-07-28,2004-08-27,584.15,1.67,9.76,False,30
PAYX,B+,2004-07-28,2004-08-27,584.15,0.33,1.93,False,30
ORCL,A,2004-07-29,2004-08-30,687.23,-2.22,-15.26,False,32
IPCC,A,2004-07-30,2004-08-30,700.98,-6.01,-42.13,False,31
CACC,A,2004-09-29,2004-10-20,771.84,10.0,77.18,True,21
CPB,B,2004-09-27,2004-10-27,578.88,1.94,11.23,False,30
OI,B,2005-01-31,2005-02-15,712.14,10.0,71.21,True,15
MOS,B+,2005-01-26,2005-02-24,807.09,10.0,80.71,True,29
MO,B,2005-01-31,2005-03-02,712.14,3.63,25.85,False,30
VLY,A,2005-01-31,2005-03-02,949.52,3.98,37.79,False,30
GT,B,2005-03-30,2005-05-02,804.47,-8.15,-65.56,False,32
REG,A+,2005-03-31,2005-05-09,1340.79,15.0,201.12,True,38
LAZ,B+,2005-08-29,2005-09-28,1104.78,-3.12,-34.47,False,30
WFC,B+,2005-08-29,2005-09-28,1104.78,-0.55,-6.08,False,30
CWT,B,2005-08-30,2005-09-29,974.81,6.83,66.58,False,30
INTU,B+,2005-08-30,2005-09-29,1104.78,-0.79,-8.73,False,30
CSCO,B,2005-12-22,2006-01-09,1097.4,10.35,113.58,True,18
CMCSA,A,2005-12-29,2006-01-30,1463.2,6.39,93.5,False,32
LYV,B+,2006-05-31,2006-06-07,1448.93,10.0,144.89,True,7
FHN,B+,2006-05-26,2006-06-26,1448.93,-2.9,-42.02,False,31
GNW,B,2006-05-30,2006-06-29,1278.47,5.18,66.22,False,30
CPB,B,2006-05-31,2006-06-30,1278.47,6.79,86.81,False,30
CSE,B+,2006-06-29,2006-07-31,1511.67,4.33,65.46,False,32
JBL,B,2006-06-29,2006-07-31,1333.83,-5.6,-74.69,False,32
BKD,A,2006-07-25,2006-08-01,1835.8,10.0,183.58,True,7
ZZ,B+,2006-07-26,2006-08-25,1560.43,-2.76,-43.07,False,30
CAT,A,2006-07-27,2006-08-28,1835.8,-6.28,-115.29,False,32
CTAS,B,2006-07-27,2006-08-28,1101.47,3.3,36.35,False,32
WNC,B+,2006-08-28,2006-08-31,1603.33,10.0,160.33,True,3
SYNT,B,2006-08-28,2006-09-27,1414.7,-0.65,-9.2,False,30
HUN,B+,2006-08-29,2006-09-28,1603.33,4.9,78.56,False,30
AET,A,2006-08-31,2006-10-02,1918.34,3.96,75.97,False,32
HELE,B+,2006-08-31,2006-10-02,1630.59,7.97,129.96,False,32
KBH,A,2007-07-30,2007-08-08,2413.39,10.0,241.34,True,9
RNST,B,2007-07-31,2007-08-08,1810.05,10.0,181.0,True,8
