filed_date,transaction_date,ticker,company,insider_name,insider_title,transaction_code,transaction_type,shares,price,value,acquired_disposed,accession_no
2026-08-07,2026-08-07,MSEX,MIDDLESEX WATER CO,Ginegaw Lorrie Beth,"VP, Human Resources",S,Open-market sell,615.0,57.61,35430.15,D,000162828026054754
2026-08-07,2026-08-06,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,355.0,98.864,35096.72,D,000158552126000113
2026-08-07,2026-08-06,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,8786.0,100.0308,878870.61,D,000158552126000113
2026-08-07,2026-08-06,ZM,"Zoom Communications, Inc.",Yuan Eric S.,Chief Executive Officer,S,Open-market sell,2959.0,100.8478,298408.64,D,000158552126000113
2026-08-07,2026-08-06,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,158.0,102.03,16120.74,D,000162828026054911
2026-08-07,2026-08-06,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,211.0,103.52,21842.72,D,000162828026054911
2026-08-07,2026-08-06,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,5476.0,104.56,572570.56,D,000162828026054911
2026-08-07,2026-08-06,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,6933.0,105.46,731154.18,D,000162828026054911
2026-08-07,2026-08-06,GFF,GRIFFON CORP,MEHMEL ROBERT F,President and COO,S,Open-market sell,2074.0,106.27,220403.98,D,000162828026054911
2026-08-07,2026-08-06,CRCL,"Circle Internet Group, Inc.",Ostling Danita K,Director,S,Open-market sell,20000.0,61.65,1233000.0,D,000187604226000251
2026-08-07,2026-08-06,MGNI,"MAGNITE, INC.",BARRETT MICHAEL G.,CEO,S,Open-market sell,293968.0,22.72,6678952.96,D,000110061226000009
2026-08-07,2026-08-06,RVI,Robinhood Ventures Fund I,"Robinhood Markets, Inc.",,S,Open-market sell,5108.0,27.23,139090.84,D,000178387926000122
2026-08-07,2026-08-06,RVI,Robinhood Ventures Fund I,"Robinhood Markets, Inc.",,S,Open-market sell,4135.0,27.83,115077.05,D,000178387926000122
2026-08-07,2026-08-06,KO,COCA COLA CO,Ortega Luisa,,S,Open-market sell,19772.0,86.6721,1713680.76,D,000002134426000161
2026-08-07,2026-08-06,KO,COCA COLA CO,Ortega Luisa,,S,Open-market sell,35983.0,86.5468,3114213.5,D,000002134426000161
2026-08-07,2026-08-06,UFPT,UFP TECHNOLOGIES INC,Holt Jason,Vice President,S,Open-market sell,1100.0,317.0,348700.0,D,000208495626000052
2026-08-07,2026-08-06,ARCB,ARCBEST CORP /TX/,Stipp Janice E,,S,Open-market sell,1400.0,137.46,192444.0,D,000153238826000004
2026-08-07,2026-08-06,ARCB,ARCBEST CORP /TX/,Stipp Janice E,,S,Open-market sell,3600.0,139.2,501120.0,D,000153238826000004
2026-08-07,2026-08-06,SO,SOUTHERN CO,Spainhour Sterling A Jr.,EVP & CLO,S,Open-market sell,3333.0,94.02,313368.66,D,000119312526340057
2026-08-07,2026-08-06,FNB,FNB CORP/PA/,David Bryant Mitchell,Chief Wholesale Banking Office,S,Open-market sell,4055.0,19.245,78038.48,D,000185583726000012
2026-08-07,2026-08-06,PEBO,PEOPLES BANCORP INC,Edgell Matthew,Chief of Staff,S,Open-market sell,3000.0,41.275,123825.0,D,000031830026000197
2026-08-07,2026-08-06,RCG,"RENN Fund, Inc.",HORIZON KINETICS ASSET MANAGEMENT LLC,,P,Open-market buy,756.0,2.97,2245.32,A,000143774926026490
2026-08-07,2026-08-06,TPL,Texas Pacific Land Corp,HORIZON KINETICS ASSET MANAGEMENT LLC,,P,Open-market buy,1.0,355.62,355.62,A,000143774926026469
2026-08-07,2026-08-06,DGICA,DONEGAL GROUP INC,DONEGAL MUTUAL INSURANCE CO,,P,Open-market buy,18000.0,19.67,354060.0,A,000093559626000016
2026-08-07,2026-08-06,DGICA,DONEGAL GROUP INC,HOFFMAN CHRISTINA MARIE,Sr. VP & Chief Risk Officer,S,Open-market sell,18000.0,19.67,354060.0,D,000181068026000003
2026-08-07,2026-08-06,AUDC,AUDIOCODES LTD,Baruch Niran,Chief Financial Officer,S,Open-market sell,1875.0,9.95,18656.25,D,000197640826000710
2026-08-07,2026-08-06,AUDC,AUDIOCODES LTD,Aldema Lior,EVP and Chief Business Officer,S,Open-market sell,2812.0,9.9464,27969.28,D,000197640826000709
2026-08-07,2026-08-06,SE,Sea Ltd,Ye Gang,COO,S,Open-market sell,13005.0,111.3,1447456.5,D,000119312526339009
2026-08-07,2026-08-06,SE,Sea Ltd,Ye Gang,COO,S,Open-market sell,6995.0,111.86,782460.7,D,000119312526339009
2026-08-07,2026-08-06,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,1066.0,111.24,118581.84,D,000119312526339004
2026-08-07,2026-08-06,SE,Sea Ltd,Wang Yanjun,CCO and GC,S,Open-market sell,434.0,111.86,48547.24,D,000119312526339004
2026-08-06,2026-08-06,OPI,OFFICE PROPERTIES INCOME TRUST,"REDWOOD CAPITAL MANAGEMENT, LLC",,S,Open-market sell,162254.0,19.71,3198026.34,D,000091957426004851
